Transaction_id,Currency,Status,Submit Date,Country
TXN-CC9B0EAF-270,GBP,Cancelled,2024-12-06,Netherlands
TXN-3AD374C4-18B,AUD,Failed,2024-10-26,Australia
TXN-26E6495D-FF0,JPY,Completed,2023-08-14,Singapore
TXN-9D897D84-C00,CNY,Refunded,2023-08-09,UAE
TXN-F39DD85F-BC4,LKR,Pending,2023-06-17,Italy
TXN-19DBA425-94A,AED,Refunded,2023-05-18,Sweden
TXN-EEC48B2E-B4A,CAD,Cancelled,2024-10-05,France
TXN-701D08C2-B2B,USD,Pending,2024-03-03,India
TXN-E3B554CA-F6F,AED,Refunded,2024-02-24,Brazil
TXN-D6401997-775,USD,Completed,2024-05-02,United Kingdom
TXN-C2CDE750-6E9,AED,Cancelled,2023-10-30,United States
TXN-1D72F488-98D,CNY,Pending,2024-04-01,South Africa
TXN-6C96ADEE-C63,CAD,Processing,2024-08-11,Sri Lanka
TXN-9EE76380-E89,INR,Failed,2023-12-22,Switzerland
TXN-4950AE70-667,USD,Pending,2024-01-18,Sweden
TXN-F825C4EA-03A,CNY,Cancelled,2024-03-09,Germany
TXN-CDE2EB51-213,AUD,Pending,2024-12-17,Singapore
TXN-A5354549-20D,CNY,Failed,2023-11-11,Japan
TXN-0A58EAA2-198,CNY,Processing,2023-04-20,Sweden
TXN-50A773D1-D8A,INR,Completed,2023-09-10,United States
TXN-B1A7F1F4-8AA,INR,Refunded,2024-06-22,Sri Lanka
TXN-861B0E79-8DC,AED,Pending,2023-11-05,South Africa
TXN-8B1CBC86-8F1,USD,Failed,2023-08-27,Sri Lanka
TXN-3C57F01B-7F2,CHF,Cancelled,2024-03-03,India
TXN-083AEB90-4DC,CHF,Completed,2024-01-29,Sri Lanka
TXN-4261C082-B75,CNY,Cancelled,2024-04-04,Netherlands
TXN-9E6E0C3E-2EA,CAD,Processing,2023-03-24,United Kingdom
TXN-AEA280A6-B5F,EUR,Refunded,2023-05-30,Spain
TXN-025B69BB-C43,AED,Failed,2023-11-24,China
TXN-00F2A644-004,CHF,Completed,2024-10-05,Spain
TXN-23111A5B-902,AED,Pending,2023-10-22,India
TXN-480FCDBF-782,USD,Cancelled,2023-01-21,Brazil
TXN-EF5A35F8-FD5,AUD,Completed,2023-10-31,Norway
TXN-F0A54C17-BE7,AED,Refunded,2023-10-27,Switzerland
TXN-D7A12B41-8B4,CHF,Refunded,2023-07-27,France
TXN-487F888A-6AE,JPY,Refunded,2024-07-27,Sri Lanka
TXN-C8423928-675,INR,Refunded,2023-12-06,Spain
TXN-223C16DD-69E,USD,Pending,2024-09-13,India
TXN-B8964E5B-ED3,CNY,Pending,2024-10-22,Brazil
TXN-26F721AC-219,EUR,Completed,2023-08-21,Sweden
TXN-9EBF310B-D3E,GBP,Refunded,2023-10-12,Sweden
TXN-D510ABBE-ABF,LKR,Pending,2024-03-14,UAE
TXN-3313C6CC-5AF,AED,Pending,2023-02-20,Japan
TXN-C0C0B6D8-F52,CHF,Cancelled,2024-11-06,Australia
TXN-CC42B363-982,USD,Failed,2024-03-27,Norway
TXN-A824AB29-58A,INR,Refunded,2023-02-10,France
TXN-0396DB95-D0F,EUR,Pending,2023-05-10,Switzerland
TXN-0C5A4F0F-4A7,AUD,Refunded,2023-06-12,Switzerland
TXN-79F8177F-B48,EUR,Cancelled,2024-11-25,UAE
TXN-79AD0609-CCD,SGD,Completed,2023-02-19,United Kingdom
TXN-CA53960A-567,CHF,Processing,2023-11-08,Norway
TXN-5754F6CF-249,CNY,Refunded,2024-06-05,United Kingdom
TXN-35BEAF34-981,JPY,Processing,2023-07-17,Singapore
TXN-8F44644E-374,JPY,Completed,2024-06-19,Singapore
TXN-40B7FCA4-E97,CNY,Cancelled,2024-04-23,Norway
TXN-99887E4A-DFE,USD,Pending,2024-08-27,Sri Lanka
TXN-77D8B2A3-314,AUD,Cancelled,2023-11-25,Netherlands
TXN-2E111047-11A,LKR,Processing,2023-01-16,Switzerland
TXN-AC5F8A71-05A,GBP,Refunded,2023-11-01,Sweden
TXN-1C0D8B3E-54B,CHF,Pending,2024-10-30,Sweden
TXN-43B4724A-9ED,INR,Failed,2023-07-16,Singapore
TXN-ABC776C2-6FF,AED,Completed,2023-04-20,India
TXN-C4A8FF03-491,LKR,Refunded,2023-08-14,France
TXN-57C76E6D-447,USD,Failed,2024-04-08,Canada
TXN-929910FA-5F3,CNY,Processing,2024-01-29,Netherlands
TXN-FED835DC-3F0,LKR,Pending,2023-04-17,Singapore
TXN-43B956CA-364,LKR,Cancelled,2023-10-08,Sri Lanka
TXN-C7C2B4EE-A49,JPY,Processing,2024-01-08,Netherlands
TXN-C397C44F-AEF,CAD,Cancelled,2023-12-27,Japan
TXN-A63AE64E-D44,AUD,Completed,2024-11-22,France
TXN-16B2AF4D-191,EUR,Failed,2024-06-04,Norway
TXN-E5497A25-E10,CAD,Refunded,2023-07-14,UAE
TXN-812FFE20-42A,CNY,Pending,2024-06-18,Norway
TXN-533C9734-752,JPY,Completed,2024-03-12,Sri Lanka
TXN-B350C21D-B30,USD,Failed,2024-03-16,Australia
TXN-C7EDB8D0-C77,AUD,Processing,2023-08-22,United Kingdom
TXN-06E44B44-EC6,JPY,Pending,2023-03-06,India
TXN-80EAD052-5D0,AUD,Pending,2024-05-10,UAE
TXN-E4D06683-51A,JPY,Pending,2024-12-31,China
TXN-910F4BCA-2CC,USD,Completed,2024-11-03,South Africa
TXN-A65C561C-03B,SGD,Processing,2024-08-26,Japan
TXN-BC7C2B70-7F9,LKR,Failed,2023-03-12,Spain
TXN-1F3D0A0A-80C,GBP,Processing,2023-07-24,Sri Lanka
TXN-7F39D1C1-888,GBP,Pending,2023-05-30,France
TXN-BF568DC5-709,LKR,Cancelled,2023-12-04,France
TXN-A86E3AED-873,CAD,Pending,2023-05-03,Netherlands
TXN-6738E5FA-707,LKR,Cancelled,2023-09-08,Italy
TXN-8A581C9A-53A,JPY,Refunded,2023-10-12,Sweden
TXN-72054970-F70,EUR,Processing,2024-01-17,Spain
TXN-19C3BFC0-1E7,CNY,Cancelled,2024-03-20,Switzerland
TXN-45AEBD42-C95,GBP,Refunded,2024-07-14,Italy
TXN-8928F344-B10,USD,Cancelled,2024-12-24,Brazil
TXN-2228BED8-04C,CAD,Failed,2023-09-02,Brazil
TXN-1BC5F1E5-E0F,LKR,Refunded,2024-07-03,United States
TXN-1C59C1D8-D1C,CHF,Refunded,2023-09-22,Spain
TXN-119AA5C6-90E,CAD,Cancelled,2024-03-27,Sweden
TXN-447FEAC7-A1F,SGD,Pending,2024-06-09,United States
TXN-09E61F49-843,CHF,Refunded,2023-03-18,France
TXN-D8DF264C-CBD,JPY,Refunded,2024-08-08,Australia
TXN-EAE5EC32-020,CHF,Processing,2024-06-08,United States
TXN-3365CB25-83E,AUD,Cancelled,2024-07-10,United Kingdom
TXN-EA3B1D92-9A3,CAD,Refunded,2024-11-26,France
TXN-D15E3D9E-9D9,CNY,Refunded,2024-04-25,Australia
TXN-40D61FEB-B28,JPY,Pending,2023-11-11,Spain
TXN-4716B8EE-66C,EUR,Refunded,2023-01-04,Germany
TXN-A6C67187-795,AED,Failed,2023-04-29,Spain
TXN-DA819A01-D8D,AED,Pending,2023-07-11,Brazil
TXN-1AFBE65B-AAB,AUD,Processing,2024-06-26,Singapore
TXN-FD3E7CBD-E2F,AED,Pending,2024-07-16,UAE
TXN-584D8657-A95,USD,Refunded,2024-04-10,South Africa
TXN-47F64950-72B,USD,Completed,2024-05-16,Sweden
TXN-E9858FC0-7D2,EUR,Failed,2024-02-10,United Kingdom
TXN-F88A91C3-6ED,CHF,Processing,2024-10-09,UAE
TXN-1CB5BEA6-D90,AUD,Cancelled,2023-01-23,UAE
TXN-40BB9645-FCB,AED,Refunded,2023-10-03,Sri Lanka
TXN-C467B9CA-80E,CHF,Processing,2024-11-14,Australia
TXN-67ED6C01-911,GBP,Failed,2023-02-10,Brazil
TXN-CCE8040C-C8C,SGD,Pending,2023-08-10,South Africa
TXN-65A4E72B-D0E,AED,Pending,2024-09-05,Norway
TXN-06CDE569-8AE,CAD,Completed,2024-09-28,United Kingdom
TXN-2E2BC2DF-AA5,USD,Cancelled,2024-01-22,Japan
TXN-667A7369-A9C,JPY,Pending,2023-03-21,Singapore
TXN-9F9B68A6-EBB,CAD,Cancelled,2024-04-02,Australia
TXN-52D6CCC2-C9E,INR,Failed,2023-11-09,Italy
TXN-DC3CD73C-DED,AED,Refunded,2024-05-18,South Africa
TXN-CB2B5CA6-081,CAD,Processing,2023-10-17,China
TXN-B76B91FB-5C8,CNY,Processing,2023-01-15,Singapore
TXN-3EAB80C5-02E,CAD,Failed,2024-12-06,Netherlands
TXN-D7E66597-39A,SGD,Refunded,2023-08-26,United States
TXN-EF812920-C7A,EUR,Refunded,2024-03-22,South Africa
TXN-4A0B3E31-D3E,CNY,Pending,2023-01-03,Sweden
TXN-DC03266F-A1B,USD,Failed,2023-07-15,Switzerland
TXN-099A8B2F-45E,SGD,Refunded,2024-07-05,Switzerland
TXN-F166ABF9-E4B,GBP,Failed,2023-05-26,UAE
TXN-BECB414A-459,JPY,Completed,2024-04-02,Switzerland
TXN-A0999F9F-4B1,CAD,Completed,2024-05-28,France
TXN-9929D35A-D2B,AED,Refunded,2023-08-24,Italy
TXN-843FD43F-65C,CHF,Pending,2023-09-03,Australia
TXN-2D0A0304-C36,LKR,Failed,2024-09-25,UAE
TXN-D5A34131-3B4,INR,Failed,2023-09-10,South Africa
TXN-E0AD6DF1-815,AED,Processing,2024-08-08,Netherlands
TXN-52400991-1E7,CNY,Cancelled,2024-03-04,Canada
TXN-06C4B1DD-833,AED,Pending,2024-03-27,Switzerland
TXN-0B665D05-54C,CHF,Refunded,2023-02-18,Japan
TXN-1F0FDD76-AEA,AED,Failed,2023-10-01,United States
TXN-C2FCAEDE-3FC,CHF,Failed,2023-08-01,Brazil
TXN-0084B588-659,LKR,Failed,2024-04-25,Singapore
TXN-D3B90EB5-5F1,AED,Completed,2024-03-14,UAE
TXN-5F138B97-3E1,GBP,Processing,2024-03-06,Germany
TXN-EF56245C-067,CNY,Cancelled,2023-10-23,Switzerland
TXN-87BBC6DB-63D,INR,Processing,2024-01-08,South Africa
TXN-2A08C624-7A4,CAD,Completed,2024-08-26,France
TXN-D81BABE3-B64,JPY,Pending,2023-04-08,South Africa
TXN-C12DCA16-549,LKR,Processing,2024-02-18,Sri Lanka
TXN-40D05BDC-522,AED,Failed,2023-11-30,Sri Lanka
TXN-9325B050-8AF,AED,Refunded,2024-06-12,Sri Lanka
TXN-6218130B-D7F,INR,Failed,2024-07-20,Sri Lanka
TXN-C90DD100-EE5,SGD,Pending,2024-04-29,Australia
TXN-9F42F6B6-E85,LKR,Completed,2023-08-07,Germany
TXN-B0BD1AF1-DF8,USD,Cancelled,2024-01-07,Sweden
TXN-76976F38-CD9,CNY,Failed,2023-01-18,Singapore
TXN-E2820CB4-0FB,AUD,Completed,2024-03-22,Germany
TXN-8AA2387D-20B,EUR,Failed,2023-01-17,United Kingdom
TXN-DEE3A7F0-8ED,INR,Cancelled,2024-10-06,Singapore
TXN-D4D162B6-A66,JPY,Cancelled,2023-01-22,Netherlands
TXN-034D0419-EEF,LKR,Failed,2023-12-08,Singapore
TXN-09284A80-44C,EUR,Failed,2023-08-04,Germany
TXN-D3FAA856-277,USD,Refunded,2024-02-06,UAE
TXN-30A406D7-D17,GBP,Failed,2024-01-25,Brazil
TXN-E542A55A-7A0,CNY,Failed,2024-08-15,Sri Lanka
TXN-582F5F7B-EE5,CHF,Pending,2024-09-20,United States
TXN-28645B1C-9CE,CAD,Cancelled,2024-12-11,Japan
TXN-B4053C43-123,CHF,Processing,2024-08-23,Germany
TXN-D42785FD-ED0,USD,Processing,2023-08-15,Norway
TXN-F7A91DCB-D52,CNY,Cancelled,2023-10-01,Netherlands
TXN-6F1DF0F8-936,INR,Pending,2023-05-05,France
TXN-B6CB3CAA-40B,CNY,Pending,2023-06-05,Japan
TXN-7EAB5C85-9CD,AUD,Failed,2023-04-26,Netherlands
TXN-6937AA2C-8E9,GBP,Refunded,2024-07-24,Japan
TXN-EE22D737-737,JPY,Pending,2023-03-09,South Africa
TXN-263AE095-C61,AED,Refunded,2024-12-05,United Kingdom
TXN-24EAD832-572,CHF,Cancelled,2024-08-28,Netherlands
TXN-871A9A4B-C80,EUR,Completed,2023-05-23,Norway
TXN-C369B325-41C,INR,Refunded,2023-06-28,Spain
TXN-BA25F297-5A8,CHF,Pending,2023-04-25,UAE
TXN-BA98DECC-679,CAD,Processing,2023-05-06,Sweden
TXN-69046728-146,INR,Failed,2024-02-25,France
TXN-B863093E-194,AED,Pending,2024-06-06,South Africa
TXN-1FB22133-834,AUD,Pending,2023-07-20,South Africa
TXN-73A5F1B9-E04,JPY,Refunded,2023-10-22,Germany
TXN-21E8CF5A-AFD,CNY,Cancelled,2023-12-27,United States
TXN-0B3B639F-C80,SGD,Cancelled,2023-09-04,Sri Lanka
TXN-83C2EBF5-A8C,EUR,Failed,2023-02-10,Spain
TXN-9AE5CBDD-788,SGD,Pending,2023-02-12,South Africa
TXN-63A58917-7FB,GBP,Pending,2023-06-21,India
TXN-58424491-8F4,GBP,Pending,2024-01-19,South Africa
TXN-E763D177-643,CNY,Completed,2024-05-27,Sri Lanka
TXN-AAEC2C81-742,AED,Completed,2024-11-27,Australia
TXN-6CE9CF1E-A8B,CNY,Completed,2024-05-10,South Africa
TXN-2786B5C7-0D4,CNY,Cancelled,2023-03-25,Japan
TXN-B0E62127-740,USD,Refunded,2024-09-16,Japan
TXN-017F797E-510,AED,Processing,2023-10-25,South Africa
TXN-20133244-B1B,JPY,Refunded,2023-06-15,UAE
TXN-D9FAF09B-55F,GBP,Failed,2024-02-09,United States
TXN-DB31BC74-1AA,INR,Completed,2024-07-12,United States
TXN-158E6FFE-7E6,JPY,Failed,2024-08-06,UAE
TXN-8C87273B-346,AUD,Refunded,2024-10-15,Australia
TXN-563FF87D-13F,AUD,Refunded,2023-08-14,Switzerland
TXN-B6907E03-D2B,LKR,Completed,2023-11-24,United States
TXN-70A29C4F-C43,AUD,Cancelled,2024-11-19,UAE
TXN-CEF717D8-013,CAD,Processing,2023-04-16,Italy
TXN-AB1E0ACA-6BE,CAD,Pending,2023-02-21,Italy
TXN-880EC26A-65F,EUR,Cancelled,2023-11-24,Japan
TXN-B82D779E-9E5,CNY,Pending,2023-02-14,Canada
TXN-BC3A4083-FB0,SGD,Processing,2023-05-26,India
TXN-60199511-6B4,EUR,Failed,2024-08-09,Australia
TXN-5A81CA5D-8BD,EUR,Processing,2023-10-21,Sweden
TXN-8B29B564-541,SGD,Processing,2024-01-28,United Kingdom
TXN-631F1B57-D42,AUD,Pending,2024-08-03,Sri Lanka
TXN-5617A65B-6C5,JPY,Cancelled,2023-12-07,South Africa
TXN-989A35CB-FA4,CAD,Refunded,2024-06-30,China
TXN-AF9CBFBC-FCC,JPY,Completed,2023-07-16,Canada
TXN-6A7E1EA5-BB2,SGD,Pending,2023-04-01,Germany
TXN-4A4A1832-FE7,AUD,Pending,2024-08-05,Sweden
TXN-1D516317-AB1,EUR,Pending,2023-06-30,United Kingdom
TXN-3F304322-C38,EUR,Processing,2023-09-10,United Kingdom
TXN-779FAEF6-161,AED,Pending,2023-12-26,Japan
TXN-A8E7A018-8CB,EUR,Failed,2023-12-04,Spain
TXN-24C898ED-8B1,AUD,Pending,2024-11-28,Australia
TXN-1AFD90C3-ED4,SGD,Processing,2024-09-23,United Kingdom
TXN-8C1755AD-6B6,SGD,Cancelled,2023-03-30,South Africa
TXN-AFC5C603-3EE,AED,Pending,2023-09-29,Canada
TXN-A45FB19B-41B,GBP,Failed,2023-06-27,Canada
TXN-EC651DCB-357,INR,Pending,2024-10-02,Spain
TXN-5F92B648-0C3,CNY,Processing,2023-09-29,Singapore
TXN-F1DCFC1E-CB0,LKR,Pending,2023-04-26,Singapore
TXN-2DDCB2E6-936,SGD,Processing,2024-03-10,Singapore
TXN-EF1A1EDD-20A,INR,Refunded,2023-04-04,Spain
TXN-F615EFB3-3D8,GBP,Refunded,2023-08-28,China
TXN-A49083E6-13C,JPY,Processing,2024-02-06,UAE
TXN-99DA08DC-EA2,JPY,Refunded,2024-07-17,Norway
TXN-2C9C5989-38F,USD,Cancelled,2024-09-09,Norway
TXN-2C4A65CD-05E,INR,Cancelled,2023-08-26,Italy
TXN-DE34A26D-C74,INR,Refunded,2024-02-18,Norway
TXN-67DE5E2F-836,CNY,Failed,2024-07-10,Germany
TXN-2CB6909F-5FE,CNY,Completed,2023-11-18,Australia
TXN-470930A7-483,CAD,Refunded,2023-11-17,Switzerland
TXN-D1F8851E-90B,EUR,Processing,2024-09-03,United Kingdom
TXN-83F1A907-E16,USD,Failed,2023-09-08,Spain
TXN-6D014EFC-0CD,CNY,Completed,2024-01-18,Singapore
TXN-DE039027-38F,AED,Pending,2024-08-23,Germany
TXN-BB896DA6-378,EUR,Processing,2023-05-30,Australia
TXN-095D8311-72D,CNY,Refunded,2023-07-25,South Africa
TXN-5C39C5C3-F99,GBP,Processing,2023-10-19,Canada
TXN-0B5C0D6B-98F,CAD,Pending,2024-08-31,UAE
TXN-49C56F78-A82,CAD,Failed,2024-09-26,Australia
TXN-B47ACA5A-038,CNY,Failed,2024-04-10,Sweden
TXN-7A195CBD-01B,AUD,Pending,2024-11-28,UAE
TXN-C4755629-E69,LKR,Processing,2023-02-19,UAE
TXN-F00BA818-226,GBP,Refunded,2023-07-06,Germany
TXN-D3EE54C0-C29,CAD,Processing,2024-04-28,Singapore
TXN-4F4AA0E5-49E,GBP,Cancelled,2024-04-09,Japan
TXN-5FF0FC2E-8A0,LKR,Refunded,2024-12-11,Germany
TXN-E7E3403B-C8D,GBP,Pending,2024-11-25,Netherlands
TXN-D027A243-12F,CHF,Failed,2024-03-23,France
TXN-AB7996CF-070,JPY,Refunded,2024-03-30,Japan
TXN-48B8E50B-006,LKR,Pending,2024-08-20,UAE
TXN-C0805B6F-D01,GBP,Refunded,2023-06-25,Australia
TXN-6B21CCCB-55E,CHF,Failed,2023-09-27,Brazil
TXN-023E5681-F8C,USD,Failed,2023-03-08,Spain
TXN-E058CAFD-502,USD,Completed,2023-08-01,Switzerland
TXN-0D966EDF-6DB,CHF,Cancelled,2024-08-02,South Africa
TXN-6118DF83-2EB,USD,Failed,2023-12-07,Japan
TXN-10BC5E17-496,CNY,Processing,2023-04-27,Sweden
TXN-E1947E31-B6C,LKR,Completed,2024-04-04,Switzerland
TXN-F29BFC43-F36,CNY,Failed,2024-05-02,Norway
TXN-81F58FD9-308,LKR,Completed,2023-04-01,Spain
TXN-0860ED6E-A50,INR,Processing,2024-11-13,United States
TXN-31446317-AC2,JPY,Processing,2024-02-27,United States
TXN-824D22CE-BF6,SGD,Cancelled,2023-07-30,Norway
TXN-A509E010-0B3,SGD,Failed,2024-09-29,Australia
TXN-F6CA034B-7B0,CHF,Processing,2023-06-24,Australia
TXN-D0B0F360-0C5,GBP,Completed,2023-10-14,United Kingdom
TXN-F4DC642E-273,CAD,Cancelled,2023-09-14,Brazil
TXN-79766843-D8F,CHF,Cancelled,2024-09-26,Japan
TXN-CE8CDBEB-A79,AED,Refunded,2023-10-19,Canada
TXN-47ACECD4-AC6,AED,Completed,2023-03-15,Australia
TXN-6025948F-EE5,CAD,Completed,2023-10-26,South Africa
TXN-BE43B38D-9F5,AED,Completed,2024-08-02,Canada
TXN-C52F4CAE-3AE,CAD,Refunded,2024-03-05,Sri Lanka
TXN-700C825C-BED,CHF,Pending,2024-05-28,South Africa
TXN-A2FC2F6A-CC4,GBP,Failed,2023-06-20,Norway
TXN-07D61DB3-8A8,INR,Refunded,2024-01-28,United Kingdom
TXN-993CD134-2E8,INR,Failed,2023-05-06,Spain
TXN-5AAFB84E-1A1,JPY,Pending,2023-03-22,Sweden
TXN-56D433FB-902,LKR,Failed,2023-04-30,France
TXN-256CD9A1-CC5,INR,Refunded,2023-06-11,France
TXN-B1BA8ADC-6E6,CNY,Failed,2023-11-29,United States
TXN-66E47DE0-B8D,GBP,Cancelled,2024-08-08,France
TXN-5666AE82-425,LKR,Failed,2023-11-29,Switzerland
TXN-DE580D71-E30,CAD,Processing,2023-11-03,Canada
TXN-1156BF9D-E96,EUR,Refunded,2024-05-28,Germany
TXN-F66FA759-64F,EUR,Failed,2023-05-08,Germany
TXN-D79D1894-A66,JPY,Refunded,2023-02-15,United Kingdom
TXN-F871DF7B-82C,LKR,Completed,2023-05-15,Canada
TXN-4B73A0B3-629,CAD,Completed,2024-05-17,United States
TXN-7785D180-264,CNY,Completed,2024-01-10,Netherlands
TXN-917373CA-2B8,JPY,Pending,2023-02-24,Spain
TXN-70431F1D-C85,SGD,Refunded,2024-10-30,Australia
TXN-B0011F51-ECE,JPY,Failed,2023-03-29,United Kingdom
TXN-1E337D57-57E,CNY,Failed,2024-07-27,Germany
TXN-F8F9B742-76F,JPY,Pending,2023-05-24,India
TXN-FB1D1E53-8B8,AUD,Cancelled,2024-10-01,Spain
TXN-88F91517-390,CAD,Failed,2023-07-26,Japan
TXN-CC932AD7-A5C,GBP,Cancelled,2024-05-01,Canada
TXN-98CB6217-CB3,CHF,Refunded,2024-10-22,South Africa
TXN-EDBA7371-135,CHF,Failed,2024-04-08,India
TXN-1ED1717D-BE9,AED,Failed,2024-01-26,France
TXN-50FDAFC8-261,EUR,Cancelled,2023-10-21,United States
TXN-7ACB0A07-8A7,SGD,Pending,2023-07-15,Japan
TXN-AAB9BBAC-89D,SGD,Completed,2023-01-31,Sweden
TXN-2A78318D-4DC,AUD,Cancelled,2023-02-09,India
TXN-08218F57-87B,JPY,Failed,2023-01-09,Germany
TXN-2B8C944A-D7D,CAD,Cancelled,2024-06-18,Switzerland
TXN-83B56CDE-529,AED,Processing,2023-06-10,France
TXN-47BC525E-598,AUD,Cancelled,2023-07-27,Netherlands
TXN-0496534A-619,CAD,Pending,2024-02-07,India
TXN-445284A0-878,CNY,Completed,2024-03-12,Canada
